law_name,category_name
浙江省公安机关办理犯罪记录查询工作规定,公安警察执法程序与规范
关于公安机关完整准确执行防止干预司法“三个规定”重点难点问题政策问答,公安警察执法程序与规范
机动车登记规定,交通与安全管理
中华人民共和国道路交通安全法,交通与安全管理
最高人民法院、最高人民检察院、公安部、司法部关于办理醉酒危险驾驶刑事案件的意见,交通与安全管理
中华人民共和国刑法,治安与刑事法律
中华人民共和国治安管理处罚法,治安与刑事法律
中华人民共和国反有组织犯罪法,治安与刑事法律
中华人民共和国刑事诉讼法,治安与刑事法律
人民检察院刑事诉讼规则,治安与刑事法律
最高人民法院 最高人民检察院关于办理强奸、猥亵未成年人刑事案件适用法律若干问题的解释,治安与刑事法律
最高人民检察院、公安部关于印发《关于依法妥善办理轻伤害案件的指导意见》的通知,治安与刑事法律
中华人民共和国行政复议法,行政法律
中华人民共和国行政强制法,行政法律
中华人民共和国行政诉讼法,行政法律
中华人民共和国行政许可法,行政法律
中华人民共和国公务员法,行政法律
中华人民共和国民法典,民事法律
中华人民共和国反家庭暴力法,民事法律
中华人民共和国家庭教育促进法,民事法律
中华人民共和国妇女权益保障法,民事法律
未成年人网络保护条例,未成年人保护
中华人民共和国未成年人保护法,未成年人保护
中华人民共和国预防未成年人犯罪法,未成年人保护
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于未成年人犯罪记录封存的实施办法》的通知,未成年人保护
最高人民法院、最高人民检察院、公安部、司法部关于印发《关于办理性侵害未成年人刑事案件的意见》的通知,未成年人保护
中华人民共和国个人信息保护法,网络与信息安全
中华人民共和国数据安全法,网络与信息安全
中华人民共和国网络安全法,网络与信息安全
中华人民共和国反电信网络诈骗法,网络与信息安全
民用爆炸物品安全管理条例,安全与应急管理
危险化学品安全管理条例,安全与应急管理
烟花爆竹安全管理条例,安全与应急管理
中华人民共和国反恐怖主义法,安全与应急管理
中华人民共和国枪支管理法,安全与应急管理
中华人民共和国突发事件应对法,安全与应急管理
中华人民共和国禁毒法,安全与应急管理
中华人民共和国国家安全法,安全与应急管理
中华人民共和国集会游行示威法,社会活动与公共秩序
中华人民共和国集会游行示威法实施条例,社会活动与公共秩序
中国共产党纪律处分条例,纪检监察
中国共产党纪律检查机关控告申诉工作条例,纪检监察
中华人民共和国监察法,纪检监察
行政机关公务员处分条例,纪检监察
中华人民共和国法律援助法,法律援助与赔偿
中华人民共和国国家赔偿法,法律援助与赔偿
中华人民共和国社区矫正法,社区矫正与刑罚执行
中华人民共和国劳动争议调解仲裁法,劳动与就业
娱乐场所管理条例,娱乐与公共活动管理
浙江省见义勇为人员奖励和保障条例,奖励与保障
浙江省人民政府办公厅关于印发《浙江省见义勇为人员奖励和保障工作若干规定》的通知,奖励与保障
中华人民共和国护照法,出入境与居民身份证管理
中华人民共和国出境入境管理法,出入境与居民身份证管理
中华人民共和国居民身份证法,出入境与居民身份证管理
中华人民共和国境外非政府组织境内活动管理法,境外组织与活动管理
中共中央关于全面推进依法治国若干重大问题的决定,依法治国与政策指导
中华人民共和国宪法,宪法
